date,title,media_type,url
2024-01-01,NGC 1232: A Grand Design Spiral Galaxy,image,https://apod.nasa.gov/apod/image/2401/ngc1232b_vlt_960.jpg
2024-01-02,Rocket Transits Rippling Moon,image,https://apod.nasa.gov/apod/image/2401/FalconMoon_Madow_960.jpg
2024-01-03,A SAR Arc from New Zealand,image,https://apod.nasa.gov/apod/image/2401/SarArcNz_McDonald_960.jpg
2024-01-04,Zeta Oph: Runaway Star,image,https://apod.nasa.gov/apod/image/2401/ZetaOph_spitzer_960.jpg
2024-01-05,Trapezium: At the Heart of Orion,image,https://apod.nasa.gov/apod/image/2401/Image964_1024.jpg
2024-01-06,The Snows of Churyumov-Gerasimenko,video,https://www.youtube.com/embed/PpyPgJHKxSw?rel=0
2024-01-07,The Cat's Eye Nebula in Optical and X-ray,image,https://apod.nasa.gov/apod/image/2401/CatsEye_HubblePohl_960.jpg
2024-01-08,The Phases of Venus,image,https://apod.nasa.gov/apod/image/2401/VenusPhases_Gonzales_960.jpg
2024-01-09,Thor's Helmet,image,https://apod.nasa.gov/apod/image/2401/ThorsHelmet_Biswas_960.jpg
2024-01-10,"The Light, the Dark, and the Dusty",image,https://apod.nasa.gov/apod/image/2401/Sh2_155_4K_5Mb1024.jpg
2024-01-11,Quadrantids of the North,image,https://apod.nasa.gov/apod/image/2401/2024_quadrantids_240104_med_bsyeom1024.jpg
2024-01-12,Good Morning Moon,image,https://apod.nasa.gov/apod/image/2401/HimmlichesDreieckSaarburg_TWAN_mercurybildweb1024.jpg
2024-01-13,Circling the Sun,image,https://apod.nasa.gov/apod/image/2401/22halo_Zboran1115.jpg
2024-01-14,Dragon Aurora over Iceland,image,https://apod.nasa.gov/apod/image/2401/DragonAurora_Zhang_960.jpg
2024-01-15,Star Cluster IC 348 from Webb,image,https://apod.nasa.gov/apod/image/2401/IC348_webb_960.jpg
2024-01-16,The Orion You Can Almost See,image,https://apod.nasa.gov/apod/image/2401/OrionMcc_Guzzini_960.jpg
2024-01-17,America and the Sea of Serenity,image,https://apod.nasa.gov/apod/image/2401/22466-22467anaVantuyne900.jpg
2024-01-18,Northern Lights from the Stratosphere,image,https://apod.nasa.gov/apod/image/2401/MagneticStormRohner1024.jpg
2024-01-19,Jupiter over 2 Hours and 30 Minutes,image,https://apod.nasa.gov/apod/image/2401/2024_01_15-Jup-2h30-Chronograph600.png
2024-01-20,Falcon Heavy Boostback Burn,image,https://apod.nasa.gov/apod/image/2401/DSC07781_12Huff800.jpg
2024-01-21,The Upper Michigan Blizzard of 1938,image,https://apod.nasa.gov/apod/image/2401/snowpoles_brinkman_960.jpg
2024-01-22,Shadows of Mountain and Moon,image,https://apod.nasa.gov/apod/image/2401/GrivolaMoon_Micon_1080.jpg
2024-01-23,Deep Nebulas: From Seagull to California,image,https://apod.nasa.gov/apod/image/2401/SeagullToCalifornia_Symon_960.jpg
2024-01-24,Earth and Moon from Beyond,image,https://apod.nasa.gov/apod/image/2401/EarthMoon_Artemis1Saunders_960.jpg
2024-01-25,Jyväskylä in the Sky,image,https://apod.nasa.gov/apod/image/2401/image-20240116164558_v11024.jpg
2024-01-26,Epsilon Tauri: Star with Planet,image,https://apod.nasa.gov/apod/image/2401/Ain_1024.jpg
2024-01-27,Full Observatory Moon,image,https://apod.nasa.gov/apod/image/2401/Full_Moon_Jan_24_Beletsky1024c.jpg
2024-01-28,Pluto in True Color,image,https://apod.nasa.gov/apod/image/2401/PlutoTrueColor_NewHorizons_960.jpg
2024-01-29,The Pleiades: Seven Dusty Sisters,image,https://apod.nasa.gov/apod/image/2401/Pleiades_Stocks_960.jpg
2024-01-30,SLIM Lands on the Moon,image,https://apod.nasa.gov/apod/image/2401/Slim_jaxa_960.jpg
2024-01-31,Camera Orion Rising,image,https://apod.nasa.gov/apod/image/2401/OrionRising_Slipko_960.jpg
2024-02-01,NGC 1365: Majestic Island Universe,image,https://apod.nasa.gov/apod/image/2402/NGC1365_v4_1024.jpg
2024-02-02,NGC 1893 and the Tadpoles of IC 410,image,https://apod.nasa.gov/apod/image/2402/Tadpoles1024original.png
2024-02-03,Apollo 14: A View from Antares,image,https://apod.nasa.gov/apod/image/2402/a14pan9335-43emj_900.jpg
2024-02-04,The Cone Nebula from Hubble,image,https://apod.nasa.gov/apod/image/2402/cone_hubbleschmidt_960.jpg
2024-02-05,In the Core of the Carina Nebula,image,https://apod.nasa.gov/apod/image/2402/Carina_Taylor_960.jpg
2024-02-06,NGC 1566: A Spiral Galaxy from Webb and Hubble,image,https://apod.nasa.gov/apod/image/2402/Ngc1566_HubbleWebb_960.jpg
2024-02-07,The Heart Shaped Antennae Galaxies,image,https://apod.nasa.gov/apod/image/2402/Antennae_Biggs_960.jpg
2024-02-08,Globular Star Cluster 47 Tuc,image,https://apod.nasa.gov/apod/image/2402/NGC104_RGB_NASA1024.png
2024-02-09,When Roses Aren't Red,image,https://apod.nasa.gov/apod/image/2402/Rosette2024newt533mmcopy1024.png
2024-02-10,The Shadow of Ingenuity's Damaged Rotor Blade,image,https://apod.nasa.gov/apod/image/2402/PIA26243-1024.jpg
2024-02-11,Rocket Plume Shadow Points to the Moon,image,https://apod.nasa.gov/apod/image/2402/sts98plume_nasa_960.jpg
2024-02-12,HFG1 & Abell 6: Planetary Nebulae,image,https://apod.nasa.gov/apod/image/2402/Hfg1Abell6_CadenaCoulon_1080.jpg
2024-02-13,A January Wolf Moon,image,https://apod.nasa.gov/apod/image/2402/WolfMoon_Zegarski_960.jpg
2024-02-14,Rosette Deep Field,image,https://apod.nasa.gov/apod/image/2402/RosetteCone_Bernard_960.jpg
2024-02-15,NGC 253: Dusty Island Universe,image,https://apod.nasa.gov/apod/image/2402/ngc253_STXL6303_RC14_LHaRGB_2023_1024.jpg
2024-02-16,Structure in the Tail of Comet 12P/Pons-Brooks,image,https://apod.nasa.gov/apod/image/2402/12P_Pons_Brooks_2024_02_11_185335PST_JuneLake_DEBartlett800.jpg
2024-02-17,Meteor over the Bay of Naples,image,https://apod.nasa.gov/apod/image/2402/MeteorBayofNaples_V2_1024.jpg
2024-02-18,Hoag's Object: A Nearly Perfect Ring Galaxy,image,https://apod.nasa.gov/apod/image/2402/Hoag_HubbleBlanco_1080.jpg
2024-02-19,Looking Sideways from the Parker Solar Probe,video,https://www.youtube.com/embed/x-wX-wClfig?rel=0
2024-02-20,AM1054: Stars Form as Galaxies Collide,image,https://apod.nasa.gov/apod/image/2402/AM1054_Hubble_960.jpg
2024-02-21,Seagull Nebula over Pinnacles' Peak,image,https://apod.nasa.gov/apod/image/2402/SeagullPinnacles_Venkatraman_960.jpg
2024-02-22,A View Toward M106,image,https://apod.nasa.gov/apod/image/2402/M106field_KyunghoonLim1024.jpg
2024-02-23,The Pencil Nebula Supernova Shock Wave,image,https://apod.nasa.gov/apod/image/2402/NGC2736_Helge_Buesing1024.jpg
2024-02-24,Odysseus to the Moon,image,https://apod.nasa.gov/apod/image/2402/im-moon-imageFeb23_1024.jpg
2024-02-25,A Phoenix Aurora over Iceland,image,https://apod.nasa.gov/apod/image/2402/PhoenixAurora_Helgason_960.jpg
2024-02-26,Martian Moon Eclipses Martian Moon,video,https://youtube.com/embed/hwQTH0IGrwE?rel=0
2024-02-27,Supernova Remnant Simeis 147,image,https://apod.nasa.gov/apod/image/2402/Simeis147_Vetter_960.jpg
2024-02-28,Shades of Night,image,https://apod.nasa.gov/apod/image/2402/TwilightShades_Giannobile_1080.jpg
2024-02-29,Julius Caesar and Leap Days,image,https://apod.nasa.gov/apod/image/2402/CaesarCoin_Wikipedia_960.jpg
2024-03-01,Odysseus and The Dish,image,https://apod.nasa.gov/apod/image/2403/The_Dish_Tracking_IM-1_22February2024_04s.jpg
2024-03-02,Odysseus on the Moon,image,https://apod.nasa.gov/apod/image/2403/IM_Odysseus_landing-1100x600.png
2024-03-03,A Total Solar Eclipse Close-Up in Real Time,video,https://www.youtube.com/embed/5D9j-8Vhyto?rel=0&showinfo=0
2024-03-04,Light Pillars Over Inner Mongolia,image,https://apod.nasa.gov/apod/image/2403/PillarsMongolia_Liao_960.jpg
2024-03-05,NGC 2170: Angel Nebula Abstract Art,image,https://apod.nasa.gov/apod/image/2403/AngelNebula_Moulton_960.jpg
2024-03-06,M102: Edge-on Disk Galaxy,image,https://apod.nasa.gov/apod/image/2403/M102_HubbleEbrahimian_960.jpg
2024-03-07,The Crew-8 Nebula,image,https://apod.nasa.gov/apod/image/2403/Crew-8image0_1024.jpeg
2024-03-08,The Tarantula Zone,image,https://apod.nasa.gov/apod/image/2403/Tarantula-HST-ESO-Webb-SS1024.jpg
2024-03-09,Comet Pons-Brooks in Northern Spring,image,https://apod.nasa.gov/apod/image/2403/2024_03_05_Pons-Brooks_Revuca_1200px.png
2024-03-10,A Total Eclipse at the End of the World,image,https://apod.nasa.gov/apod/image/2403/AntarcticEclipse_bruenjes_960.jpg
2024-03-11,A Full Plankton Moon,image,https://apod.nasa.gov/apod/image/2403/FullPlantonMoon_Horalek_1022.jpg
2024-03-12,A Galaxy-Shaped Rocket Exhaust Spiral,image,https://apod.nasa.gov/apod/image/2403/RocketSpiral_Yang_960.jpg
2024-03-13,The Seagull Nebula,image,https://apod.nasa.gov/apod/image/2403/Seagull_Lacroce_1080.jpg
2024-03-14,Moon Pi and Mountain Shadow,image,https://apod.nasa.gov/apod/image/2403/MoonriseShadowDLopez_1024.jpg
2024-03-15,Portrait of NGC 1055,image,https://apod.nasa.gov/apod/image/2403/Image133k_n1055_1024.jpg
2024-03-16,ELT and the Milky Way,image,https://apod.nasa.gov/apod/image/2403/ELT_2024-03-13_1024.jpg
2024-03-17,NGC 7714: Starburst after Galaxy Collision,image,https://apod.nasa.gov/apod/image/2403/Ngc7714_HubblePohl_1080.jpg
2024-03-18,Comet Pons-Brooks' Swirling Coma,image,https://apod.nasa.gov/apod/image/2403/CometPonsBrook_Vallestad_960.jpg
2024-03-19,A Picturesque Equinox Sunset,image,https://apod.nasa.gov/apod/image/2403/EquinoxSunset_Dyer_960.jpg
2024-03-20,The Eyes in Markarian's Galaxy Chain,image,https://apod.nasa.gov/apod/image/2403/Ngc4438_Selby_960.jpg
2024-03-21,The Leo Trio,image,https://apod.nasa.gov/apod/image/2403/leotripletasi294large1024.jpg
2024-03-22,Phobos: Moon over Mars,image,https://apod.nasa.gov/apod/image/2403/STSCI-MarsPhobosComp1024.jpg
2024-03-23,Ares 3 Landing Site: The Martian Revisited,image,https://apod.nasa.gov/apod/image/2403/PIA19363_1024.jpg
2024-03-24,Looking Back at an Eclipsed Earth,image,https://apod.nasa.gov/apod/image/2403/eclipse99_mir_960.jpg
2024-03-25,Sonified: The Jellyfish Nebula Supernova Remnant,video,https://youtube.com/embed/NqBfQeJqkfU?rel=0
2024-03-26,Comet Pons-Brooks' Ion Tail,image,https://apod.nasa.gov/apod/image/2403/CometPons_Peirce_1080.jpg
2024-03-27,The Coma Cluster of Galaxies,image,https://apod.nasa.gov/apod/image/2403/ComaCluster_Hua_960.jpg
2024-03-28,Millions of Stars in Omega Centauri,image,https://apod.nasa.gov/apod/image/2403/NGC5139_mdf1024.png
2024-03-29,Galileo's Europa,image,https://apod.nasa.gov/apod/image/2403/PIA19048europa1024.jpg
2024-03-30,Medieval Astronomy from Melk Abbey,image,https://apod.nasa.gov/apod/image/2403/medieval_fragmentW600.jpg
2024-03-31,Total Solar Eclipse Below the Bottom of the World,image,https://apod.nasa.gov/apod/image/2403/EclipseAntarctica_Horalek_1080.jpg
2024-04-01,Swirling Magnetic Field around Our Galaxy's Central Black Hole,image,https://apod.nasa.gov/apod/image/2404/SagAstarB_EHT_960.jpg
2024-04-02,Detailed View of a Solar Eclipse Corona,image,https://apod.nasa.gov/apod/image/2404/CoronaExmouth_Hart_1080.jpg
2024-04-03,Unusual Nebula Pa 30,image,https://apod.nasa.gov/apod/image/2404/Pa30V_NASA_960.jpg
2024-04-04,Comet Pons-Brooks at Night,image,https://apod.nasa.gov/apod/image/2404/12P_Pons_Brooks_2024_03_30_JuneLake_DEBartlett1024.jpg
2024-04-05,The Solar Corona Unwrapped,image,https://apod.nasa.gov/apod/image/2404/CoronaGraph_1024.jpg
2024-04-06,Unwinding M51,image,https://apod.nasa.gov/apod/image/2404/M51Unwound_crop600.jpg
2024-04-07,A Total Solar Eclipse over Wyoming,image,https://apod.nasa.gov/apod/image/2404/EclipseWyoming_Cooper_960.jpg
2024-04-08,The Changing Ion Tail of Comet Pons-Brooks,image,https://apod.nasa.gov/apod/image/2404/Comet12pTails_ShengyuLi_960.jpg
2024-04-09,Moon's Shadow over Lake Magog,image,https://apod.nasa.gov/apod/image/2404/StanHonda2024TSEMagogCanada1200.jpg
2024-04-10,Planets Around a Total Eclipse,image,https://apod.nasa.gov/apod/image/2404/EclipsePlanets_Vetter_960.jpg
2024-04-11,Eclipse in Seven,image,https://apod.nasa.gov/apod/image/2404/2024_Eclipse_05XTan1024.jpg
2024-04-12,Total Totality,image,https://apod.nasa.gov/apod/image/2404/image0tseKorona_1100.jpg
2024-04-13,Palm Tree Partial Eclipse,image,https://apod.nasa.gov/apod/image/2404/pinholepalm1024.png
2024-04-14,How a Total Solar Eclipse Ended,video,https://www.youtube.com/embed/w5uUcq__vMo?rel=0
2024-04-15,The Cigar Galaxy from Hubble and Webb,image,https://apod.nasa.gov/apod/image/2404/M82Center_HubbleWebb_1080.jpg
2024-04-16,Filaments of the Vela Supernova Remnant,image,https://apod.nasa.gov/apod/image/2404/VelaSnr_CTIO_960.jpg
2024-04-17,Total Eclipse and Comets,image,https://apod.nasa.gov/apod/image/2404/EclipseComets_Zixuan_1080.jpg
2024-04-18,Facing NGC 1232,image,https://apod.nasa.gov/apod/image/2404/NGC1232_Eye_of_God_Galaxy_fullsize_2024-03-28_1024.jpg
2024-04-19,The Great Carina Nebula,image,https://apod.nasa.gov/apod/image/2404/NGC3372_ETA CARINA_LOPES1024.jpg
2024-04-20,Diamonds in the Sky,image,https://apod.nasa.gov/apod/image/2404/tse2024Dobbs_1024.jpg
2024-04-21,Perijove 16: Passing Jupiter,video,https://www.youtube.com/embed/c4TU3arrZR8?rel=0
2024-04-22,Moon and Smoke Rings from Mt. Etna,image,https://apod.nasa.gov/apod/image/2404/EtnaRingsMoonCrop_Giannobile_960.jpg
2024-04-23,Contrail Shadow X,image,https://apod.nasa.gov/apod/image/2404/ContrailX_Ekmen_960.jpg
2024-04-24,Dragon's Egg Bipolar Emission Nebula,image,https://apod.nasa.gov/apod/image/2404/DragonsEgg_Prangley_960.jpg
2024-04-25,NGC 604: Giant Stellar Nursery,image,https://apod.nasa.gov/apod/image/2404/stsci-xNGC604NIRcam1024.png
2024-04-26,Regulus and the Dwarf Galaxy,image,https://apod.nasa.gov/apod/image/2404/Regulus_Dwarf_by_Markus_Horn1024.png
2024-04-27,All Sky Moon Shadow,image,https://apod.nasa.gov/apod/image/2404/tse20240408h14_1024.jpg
2024-04-28,Rings Around the Ring Nebula,image,https://apod.nasa.gov/apod/image/2404/M57Ring_HubbleGendler_960.jpg
2024-04-29,"Comet, Planet, Moon",image,https://apod.nasa.gov/apod/image/2404/CometTriple_Casado_1080.jpg
2024-04-30,GK Per: Nova and Planetary Nebula,image,https://apod.nasa.gov/apod/image/2404/GKPerWide_DSC_960.jpg
2024-05-01,IC 1795: The Fishhead Nebula,image,https://apod.nasa.gov/apod/image/2405/FishheadB_Colombari_960.jpg
2024-05-02,M100: A Grand Design Spiral Galaxy,image,https://apod.nasa.gov/apod/image/2405/M100_DrewEvans1024.png
2024-05-03,Temperatures on Exoplanet WASP-43b,image,https://apod.nasa.gov/apod/image/2405/STScI-WASP43b_temperature.png
2024-05-04,3 ATs,image,https://apod.nasa.gov/apod/image/2405/three_ats_beletsky.jpg
2024-05-05,A Black Hole Disrupts a Passing Star,image,https://apod.nasa.gov/apod/image/2405/BhShredder_NASA_1080.jpg
2024-05-06,A Total Solar Eclipse from Sliver to Ring,video,https://www.youtube.com/embed/28gtfSziCgU?rel=0
2024-05-07,Black Hole Accreting with Jet,image,https://apod.nasa.gov/apod/image/2405/BlackHole_Simonnet_960.jpg
2024-05-08,Visualization: A Black Hole Accretion Disk,video,https://www.youtube.com/embed/l36UkYtq6m0?rel=0
2024-05-09,"The Galaxy, the Jet, and a Famous Black Hole",image,https://apod.nasa.gov/apod/image/2405/pia23122c-16_1067.jpg
2024-05-10,Simulation: Two Black Holes Merge,video,https://www.youtube.com/embed/I_88S8DWbcU?rel=0
2024-05-11,AR 3664: Giant Sunspot Group,image,https://apod.nasa.gov/apod/image/2405/SunAr3664_Fantasia_960.jpg
2024-05-12,Red Aurora over Poland,image,https://apod.nasa.gov/apod/image/2405/AuroraPoland_Durlej_960.jpg
2024-05-13,AR 3664 on a Setting Sun,image,https://apod.nasa.gov/apod/image/2405/SunAr3664_Menario_960.jpg
2024-05-14,The 37 Cluster,image,https://apod.nasa.gov/apod/image/2405/NGC2169LRGBQHY183HR_c1024.jpg
2024-05-15,AR 3664 at the Sun's Edge,image,https://apod.nasa.gov/apod/image/2405/AR3664Prom_Voltmer_960.jpg
2024-05-16,Aurora Georgia,image,https://apod.nasa.gov/apod/image/2405/WrightDobbs_Georgia_Aurora_2_1024.jpg
2024-05-17,Aurora Banks Peninsula,image,https://apod.nasa.gov/apod/image/2405/DSC_6363Panorama-2_600.jpg
2024-05-18,North Celestial Aurora,image,https://apod.nasa.gov/apod/image/2405/AuroraStartrails_chiragupreti1024.jpg
2024-05-19,Jupiter Diving,video,https://www.youtube.com/embed/uj3Lq7Gu94Y?rel=0
2024-05-20,Aurora Dome Sky,image,https://apod.nasa.gov/apod/image/2405/AuroraWisconsin_Liu_960.jpg
2024-05-21,CG4: The Globule and the Galaxy,image,https://apod.nasa.gov/apod/image/2405/Cg4Galaxy_CtioRector_960.jpg
2024-05-22,Green Aurora over Sweden,image,https://apod.nasa.gov/apod/image/2405/AuroraSweden_Strand_960.jpg
2024-05-23,Unraveling NGC 3169,image,https://apod.nasa.gov/apod/image/2405/N3169N3166Final1024.jpg
2024-05-24,M78 from the Euclid Space Telescope,image,https://apod.nasa.gov/apod/image/2405/M78_Euclid_960.jpg
2024-05-25,Manicouagan Impact Crater from Space,image,https://apod.nasa.gov/apod/image/2405/iss059e019043_1024.jpg
2024-05-26,A Solar Filament Erupts,image,https://apod.nasa.gov/apod/image/2405/filament_sdo_960.jpg
2024-05-27,Chamaeleon I Molecular Cloud,image,https://apod.nasa.gov/apod/image/2405/Cederblad111-110_1024.jpg
2024-05-28,Solar X Flare as Famous Active Region Returns,video,https://www.youtube.com/embed/yt7uwWzSTw0?rel=0
2024-05-29,Stairway to the Milky Way,image,https://apod.nasa.gov/apod/image/2405/StairwayToMilkyway_Marcin_1080.jpg
2024-05-30,A Lunar Corona over Paris,image,https://apod.nasa.gov/apod/image/2405/EiffelCorona_Binotto_960.jpg
2024-05-31,The Nebulous Realm of WR 134,image,https://apod.nasa.gov/apod/image/2405/NebulousRealmofWR134_1024.png
2024-06-01,Stereo Helene,image,https://apod.nasa.gov/apod/image/2406/N00172886_92_beltramini.jpg
2024-06-02,Rotating Moon from LRO,video,https://www.youtube.com/embed/sNUNB6CMnE8?rel=0
2024-06-03,NGC 2403 in Camelopardalis,image,https://apod.nasa.gov/apod/image/2405/NGC2403-LRGB+Ha+Oiii-v25-f1024.jpg
2024-06-04,Comet Pons-Brooks Develops Opposing Tails,image,https://apod.nasa.gov/apod/image/2406/Comet12P_Ligustri_960.jpg
2024-06-05,Shadow of a Martian Robot,image,https://apod.nasa.gov/apod/image/2406/NeretvaVallis_PerseveranceNevT_960.jpg
2024-06-06,NGC 4565: Galaxy on Edge,image,https://apod.nasa.gov/apod/image/2406/278_lorand_fenyes_ngc4565_1024.jpg
2024-06-07,SH2-308: The Dolphin Head Nebula,image,https://apod.nasa.gov/apod/image/2406/DolphinNebulaHOO_1024.jpg
2024-06-08,Pandora's Cluster of Galaxies,image,https://apod.nasa.gov/apod/image/2406/abell2744_jwst1024.png
2024-06-09,How to Identify that Light in the Sky,image,https://apod.nasa.gov/apod/image/2406/astronomy101_hk_960.jpg
2024-06-10,Sh2-132: The Lion Nebula,image,https://apod.nasa.gov/apod/image/2406/LionNeb_Badr_960.jpg
2024-06-11,Colorful Stars and Clouds near Rho Ophiuchi,image,https://apod.nasa.gov/apod/image/2406/RhoAntares_Stocks_1080.jpg
2024-06-12,Aurora over Karkonosze Mountains,image,https://apod.nasa.gov/apod/image/2406/AuroraKarkonosze_Koszela_1080.jpg
2024-06-13,Messier 66 Close Up,image,https://apod.nasa.gov/apod/image/2406/heic1006a_M66_1024.jpg
2024-06-14,RCW 85,image,https://apod.nasa.gov/apod/image/2406/HaLRGB+v2Pugh1100c.jpg
2024-06-15,Prominences and Filaments on the Active Sun,image,https://apod.nasa.gov/apod/image/2406/Halpha_sondergaard1024.jpg
2024-06-16,Animation: Black Hole Destroys Star,video,https://www.youtube.com/embed/ubBzcSD8G8k?rel=0
2024-06-17,Ou4: The Giant Squid Nebula,image,https://apod.nasa.gov/apod/image/2406/SquidOu4_Linde_960.jpg
